example_id,token_count
vuln-0001/sample-00001-function,1978
vuln-0001/sample-00001-file,2724
vuln-0001/sample-00001-crate,6305
vuln-0001/sample-10001-function,1893
vuln-0001/sample-10001-file,2638
vuln-0001/sample-10001-crate,6178
vuln-0002/sample-00002-crate,11118
vuln-0002/sample-00002-file,9802
vuln-0002/sample-00002-function,2110
vuln-0002/sample-10002-crate,10838
vuln-0002/sample-10002-file,9553
vuln-0002/sample-10002-function,1898
vuln-0003/sample-00003-crate,4422
vuln-0003/sample-00003-file,3922
vuln-0003/sample-00003-function,1678
vuln-0003/sample-10003-crate,4182
vuln-0003/sample-10003-file,3714
vuln-0003/sample-10003-function,1566
vuln-0004/sample-00004-crate,8276
vuln-0004/sample-00004-file,5493
vuln-0004/sample-00004-function,2136
vuln-0005/sample-00005-function,1742
vuln-0005/sample-00005-file,11150
vuln-0005/sample-00005-crate,133704
vuln-0005/sample-10005-function,1700
vuln-0005/sample-10005-file,11758
vuln-0005/sample-10005-crate,134306
vuln-0006/sample-00006-crate,12212
vuln-0006/sample-00006-file,8372
vuln-0006/sample-00006-function,3592
vuln-0006/sample-10006-crate,12317
vuln-0006/sample-10006-file,8536
vuln-0006/sample-10006-function,3422
vuln-0007/sample-00007-crate,10313
vuln-0007/sample-00007-file,7544
vuln-0007/sample-00007-function,4776
vuln-0008/sample-00008-crate,10662
vuln-0008/sample-00008-function,5152
vuln-0008/sample-10008-function,1734
vuln-0008/sample-10008-crate,9022
vuln-0009/sample-00009-crate,6426
vuln-0009/sample-00009-file,4022
vuln-0009/sample-00009-function,1913
vuln-0010/sample-00010-crate,71008
vuln-0010/sample-00010-file,23970
vuln-0010/sample-00010-function,2201
vuln-0010/sample-10010-crate,70785
vuln-0010/sample-10010-file,23712
vuln-0010/sample-10010-function,1954
vuln-0011/sample-00011-crate,2241
vuln-0011/sample-00011-function,2004
vuln-0011/sample-10011-crate,2356
vuln-0011/sample-10011-function,1762
vuln-0012/sample-00012-crate,5578
vuln-0012/sample-00012-file,3292
vuln-0012/sample-00012-function,1822
vuln-0012/sample-10012-crate,5288
vuln-0012/sample-10012-file,3005
vuln-0012/sample-10012-function,1552
vuln-0013/sample-00013-crate,61674
vuln-0013/sample-00013-file,10621
vuln-0013/sample-00013-function,6416
vuln-0013/sample-10013-crate,61614
vuln-0013/sample-10013-file,10498
vuln-0013/sample-10013-function,6289
vuln-0014/sample-00014-crate,5128
vuln-0014/sample-00014-file,2504
vuln-0014/sample-00014-function,2108
vuln-0014/sample-10014-crate,4752
vuln-0014/sample-10014-file,2093
vuln-0014/sample-10014-function,1704
vuln-0015/sample-00015-crate,3149
vuln-0015/sample-00015-function,1800
vuln-0016/sample-00016-crate,3185
vuln-0016/sample-00016-function,1872
vuln-0017/sample-00017-crate,3152
vuln-0017/sample-00017-function,1886
vuln-0018/sample-00018-crate,24013
vuln-0018/sample-00018-file,19158
vuln-0018/sample-00018-function,2074
vuln-0018/sample-10018-crate,26248
vuln-0018/sample-10018-file,21773
vuln-0018/sample-10018-function,1864
vuln-0019/sample-00019-crate,24250
vuln-0019/sample-00019-file,19506
vuln-0019/sample-00019-function,2266
vuln-0019/sample-10019-crate,26248
vuln-0019/sample-10019-file,21773
vuln-0019/sample-10019-function,1873
vuln-0020/sample-00020-crate,25170
vuln-0020/sample-00020-file,20329
vuln-0020/sample-00020-function,4510
vuln-0020/sample-10020-crate,26248
vuln-0020/sample-10020-file,21773
vuln-0020/sample-10020-function,4300
