vulnerability_id,crate_name,year,path_to_crate,is_vulnerability,granularity,cwe_types,lines_of_code,sample_dir
vuln-0001,chttp,2019,vuln-0001/sample-00001-function,True,function,['CWE-416'],97,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0001/sample-00001-function
vuln-0001,chttp,2019,vuln-0001/sample-00001-file,True,file,['CWE-416'],293,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0001/sample-00001-file
vuln-0001,chttp,2019,vuln-0001/sample-00001-crate,True,crate,['CWE-416'],1253,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0001/sample-00001-crate
vuln-0001,chttp,2019,vuln-0001/sample-10001-function,False,function,[],101,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0001/sample-10001-function
vuln-0001,chttp,2019,vuln-0001/sample-10001-file,False,file,[],297,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0001/sample-10001-file
vuln-0001,chttp,2019,vuln-0001/sample-10001-crate,False,crate,[],1257,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0001/sample-10001-crate
vuln-0002,arc-swap,2020,vuln-0002/sample-00002-crate,True,crate,['CWE-416'],3952,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0002/sample-00002-crate
vuln-0002,arc-swap,2020,vuln-0002/sample-00002-file,True,file,['CWE-416'],2827,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0002/sample-00002-file
vuln-0002,arc-swap,2020,vuln-0002/sample-00002-function,True,function,['CWE-416'],77,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0002/sample-00002-function
vuln-0002,arc-swap,2020,vuln-0002/sample-10002-crate,False,crate,[],3935,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0002/sample-10002-crate
vuln-0002,arc-swap,2020,vuln-0002/sample-10002-file,False,file,[],2810,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0002/sample-10002-file
vuln-0002,arc-swap,2020,vuln-0002/sample-10002-function,False,function,[],84,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0002/sample-10002-function
vuln-0003,safe-transmute,2018,vuln-0003/sample-00003-crate,True,crate,['CWE-119'],1372,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0003/sample-00003-crate
vuln-0003,safe-transmute,2018,vuln-0003/sample-00003-file,True,file,['CWE-119'],1185,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0003/sample-00003-file
vuln-0003,safe-transmute,2018,vuln-0003/sample-00003-function,True,function,['CWE-119'],10,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0003/sample-00003-function
vuln-0003,safe-transmute,2018,vuln-0003/sample-10003-crate,False,crate,[],1372,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0003/sample-10003-crate
vuln-0003,safe-transmute,2018,vuln-0003/sample-10003-file,False,file,[],1185,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0003/sample-10003-file
vuln-0003,safe-transmute,2018,vuln-0003/sample-10003-function,False,function,[],10,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0003/sample-10003-function
vuln-0004,ordnung,2020,vuln-0004/sample-00004-crate,True,crate,['CWE-415'],2215,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0004/sample-00004-crate
vuln-0004,ordnung,2020,vuln-0004/sample-00004-file,True,file,['CWE-415'],1065,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0004/sample-00004-file
vuln-0004,ordnung,2020,vuln-0004/sample-00004-function,True,function,['CWE-415'],76,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0004/sample-00004-function
vuln-0005,image,2020,vuln-0005/sample-00005-function,True,function,['CWE-400'],30,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0005/sample-00005-function
vuln-0005,image,2020,vuln-0005/sample-00005-file,True,file,['CWE-400'],1938,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0005/sample-00005-file
vuln-0005,image,2020,vuln-0005/sample-00005-crate,True,crate,['CWE-400'],26249,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0005/sample-00005-crate
vuln-0005,image,2020,vuln-0005/sample-10005-function,False,function,[],30,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0005/sample-10005-function
vuln-0005,image,2020,vuln-0005/sample-10005-file,False,file,[],1938,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0005/sample-10005-file
vuln-0005,image,2020,vuln-0005/sample-10005-crate,False,crate,[],26248,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0005/sample-10005-crate
vuln-0006,smallvec,2021,vuln-0006/sample-00006-crate,True,crate,['CWE-787'],2907,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0006/sample-00006-crate
vuln-0006,smallvec,2021,vuln-0006/sample-00006-file,True,file,['CWE-787'],1997,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0006/sample-00006-file
vuln-0006,smallvec,2021,vuln-0006/sample-00006-function,True,function,['CWE-787'],497,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0006/sample-00006-function
vuln-0006,smallvec,2021,vuln-0006/sample-10006-crate,False,crate,[],2920,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0006/sample-10006-crate
vuln-0006,smallvec,2021,vuln-0006/sample-10006-file,False,file,[],1997,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0006/sample-10006-file
vuln-0006,smallvec,2021,vuln-0006/sample-10006-function,False,function,[],497,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0006/sample-10006-function
vuln-0007,ordnung,2020,vuln-0007/sample-00007-crate,True,crate,['CWE-125'],2215,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0007/sample-00007-crate
vuln-0007,ordnung,2020,vuln-0007/sample-00007-file,True,file,['CWE-125'],1065,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0007/sample-00007-file
vuln-0007,ordnung,2020,vuln-0007/sample-00007-function,True,function,['CWE-125'],191,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0007/sample-00007-function
vuln-0008,magnetic,2020,vuln-0008/sample-00008-crate,True,crate,['CWE-362'],1674,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0008/sample-00008-crate
vuln-0008,magnetic,2020,vuln-0008/sample-00008-function,True,function,['CWE-362'],506,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0008/sample-00008-function
vuln-0008,magnetic,2020,vuln-0008/sample-10008-function,False,function,[],13,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0008/sample-10008-function
vuln-0008,magnetic,2020,vuln-0008/sample-10008-crate,False,crate,[],1674,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0008/sample-10008-crate
vuln-0009,alg_ds,2020,vuln-0009/sample-00009-crate,True,crate,['CWE-908'],887,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0009/sample-00009-crate
vuln-0009,alg_ds,2020,vuln-0009/sample-00009-file,True,file,['CWE-908'],462,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0009/sample-00009-file
vuln-0009,alg_ds,2020,vuln-0009/sample-00009-function,True,function,['CWE-908'],37,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0009/sample-00009-function
vuln-0010,im,2020,vuln-0010/sample-00010-crate,True,crate,['CWE-362'],16933,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0010/sample-00010-crate
vuln-0010,im,2020,vuln-0010/sample-00010-file,True,file,['CWE-362'],5676,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0010/sample-00010-file
vuln-0010,im,2020,vuln-0010/sample-00010-function,True,function,['CWE-362'],68,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0010/sample-00010-function
vuln-0010,im,2020,vuln-0010/sample-10010-crate,False,crate,[],16933,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0010/sample-10010-crate
vuln-0010,im,2020,vuln-0010/sample-10010-file,False,file,[],5676,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0010/sample-10010-file
vuln-0010,im,2020,vuln-0010/sample-10010-function,False,function,[],68,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0010/sample-10010-function
vuln-0011,array-init-cursor,2025,vuln-0011/sample-00011-crate,True,crate,['CWE-672'],135,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0011/sample-00011-crate
vuln-0011,array-init-cursor,2025,vuln-0011/sample-00011-function,True,function,['CWE-672'],68,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0011/sample-00011-function
vuln-0011,array-init-cursor,2025,vuln-0011/sample-10011-crate,False,crate,[],189,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0011/sample-10011-crate
vuln-0011,array-init-cursor,2025,vuln-0011/sample-10011-function,False,function,[],54,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0011/sample-10011-function
vuln-0012,hashconsing,2020,vuln-0012/sample-00012-crate,True,crate,"['CWE-662', 'CWE-787']",1185,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0012/sample-00012-crate
vuln-0012,hashconsing,2020,vuln-0012/sample-00012-file,True,file,"['CWE-662', 'CWE-787']",604,/Users/tareknasser/Documents/workspace/sfu/mizan/rust-mizan/samples/vuln-0012/sample-00012-file
