metric,value
total_vulnerabilities,42
total_code_samples,173
vulnerable_samples,95
fixed_samples,78
vulnerabilities_with_fix,35
vulnerabilities_with_fix_percent,83.3
crate_level_samples,77
file_level_samples,39
function_level_samples,57
unique_cwe_types,18
vulnerability_years_range,2018--2025
min_year,2018
max_year,2025
overall_loc_mean,3483
overall_loc_median,1328
overall_loc_std,5281
overall_loc_min,7
overall_loc_max,26249
vulnerable_loc_mean,3183
vulnerable_loc_median,1185
fixed_loc_mean,3849
fixed_loc_median,1544
crate_level_loc_mean,6464
crate_level_loc_median,3584
crate_level_loc_std,6651
crate_level_loc_min,135
crate_level_loc_max,26249
crate_level_loc_count,77
file_level_loc_mean,2176
file_level_loc_median,1997
file_level_loc_std,1676
file_level_loc_min,116
file_level_loc_max,5676
file_level_loc_count,39
function_level_loc_mean,351
function_level_loc_median,96
function_level_loc_std,567
function_level_loc_min,7
function_level_loc_max,2560
function_level_loc_count,57
most_common_cwe_1,CWE-416
most_common_cwe_1_count,13
most_common_cwe_1_percent,7.5
most_common_cwe_2,CWE-129
most_common_cwe_2_count,12
most_common_cwe_2_percent,6.9
most_common_cwe_3,CWE-362
most_common_cwe_3_count,11
most_common_cwe_3_percent,6.4
most_common_cwe_4,CWE-787
most_common_cwe_4_count,10
most_common_cwe_4_percent,5.8
most_common_cwe_5,CWE-125
most_common_cwe_5_count,9
most_common_cwe_5_percent,5.2
year_2018_samples,10
year_2019_samples,16
year_2020_samples,109
year_2021_samples,6
year_2023_samples,4
year_2025_samples,28
