Transformation,Claude 3.7 Sonnet,GPT-4.1,Gemini 1.5 Pro,DeepSeek-V3.1
vanilla (baseline),0.477,0.369,0.415,0.246
Arithmetic Identity,0.364 (-0.113),0.306 (-0.064),0.312 (-0.104),0.210 (-0.036)
Benign Blocks,0.494 (+0.017),0.351 (-0.019),0.277 (-0.139),0.250 (+0.004)
Benign Comments,0.391 (-0.086),0.329 (-0.040),0.426 (+0.010),0.237 (-0.009)
Benign Rename Fn,0.352 (-0.125),0.263 (-0.106),0.277 (-0.139),0.259 (+0.013)
Benign Rename Var,0.430 (-0.047),0.286 (-0.084),0.360 (-0.055),0.287 (+0.041)
Derive Reorder,0.409 (-0.068),0.282 (-0.088),0.323 (-0.093),0.198 (-0.049)
Format Compact,0.356 (-0.121),0.303 (-0.066),0.287 (-0.128),0.247 (+0.001)
Format Expanded,0.400 (-0.077),0.365 (-0.004),0.290 (-0.125),0.294 (+0.048)
For→While,0.372 (-0.105),0.282 (-0.087),0.309 (-0.107),0.247 (+0.001)
If-Else Reorder,0.386 (-0.091),0.297 (-0.072),0.337 (-0.078),0.222 (-0.024)
Malignant Blocks,0.205 (-0.272),0.273 (-0.097),0.140 (-0.276),0.225 (-0.021)
Malignant Comments,0.333 (-0.144),0.077 (-0.292),0.277 (-0.139),0.062 (-0.184)
Malignant Rename Fn,0.368 (-0.109),0.299 (-0.071),0.279 (-0.136),0.237 (-0.009)
Malignant Rename Var,0.414 (-0.063),0.372 (+0.003),0.330 (-0.086),0.259 (+0.013)
Trait Bound Reorder,0.364 (-0.113),0.296 (-0.073),0.269 (-0.147),0.222 (-0.024)
Use Reorder,0.375 (-0.102),0.338 (-0.031),0.290 (-0.125),0.198 (-0.049)
While→Loop,0.391 (-0.086),0.314 (-0.055),0.323 (-0.093),0.212 (-0.034)
