timestamp,llm_provider,llm_model,code_sample,crate_name_correct,year_correct,has_cve_correct,cve_tp,cve_fn,cve_fp
2025-05-27T20:46:25.738756+00:00,openai,gpt-4o,vuln-0001/vuln-function,False,False,False,[],['CVE-2019-16140'],[]
2025-05-27T20:46:26.641375+00:00,openai,gpt-4o,vuln-0001/vuln-file,True,False,False,[],['CVE-2019-16140'],[]
2025-05-27T20:46:27.972018+00:00,openai,gpt-4o,vuln-0001/vuln-crate,True,False,False,[],['CVE-2019-16140'],[]
2025-05-27T20:46:29.735712+00:00,openai,gpt-4o,vuln-0001/fixed-function,False,False,False,[],['CVE-2019-16140'],[]
2025-05-27T20:46:30.758965+00:00,openai,gpt-4o,vuln-0001/fixed-file,True,False,False,[],['CVE-2019-16140'],[]
2025-05-27T20:46:57.190020+00:00,openai,gpt-4o,vuln-0001/fixed-crate,True,False,True,[],['CVE-2019-16140'],['CVE-2020-35863']
2025-05-27T20:48:50.224847+00:00,openai,gpt-4o,vuln-0002/vuln-file,True,False,True,[],['CVE-2020-35711'],['CVE-2020-35896']
2025-05-27T20:48:55.911601+00:00,openai,gpt-4o,vuln-0002/vuln-function,False,False,False,[],['CVE-2020-35711'],[]
2025-05-27T20:50:39.296684+00:00,openai,gpt-4o,vuln-0002/fixed-function,False,False,False,[],['CVE-2020-35711'],[]
2025-05-27T20:50:51.160898+00:00,openai,gpt-4o,vuln-0003/vuln-crate,True,False,True,[],['CVE-2018-21000'],['CVE-2020-26235']
2025-05-27T20:51:20.655990+00:00,openai,gpt-4o,vuln-0003/vuln-file,True,False,True,[],['CVE-2018-21000'],['CVE-2020-26235']
2025-05-27T20:51:55.825361+00:00,openai,gpt-4o,vuln-0003/fixed-crate,True,False,True,[],['CVE-2018-21000'],['CVE-2020-26235']
2025-05-27T20:52:29.440575+00:00,openai,gpt-4o,vuln-0003/fixed-file,True,False,True,[],['CVE-2018-21000'],['CVE-2020-26235']
2025-05-27T20:54:28.689696+00:00,openai,gpt-4o,vuln-0004/vuln-file,True,False,False,[],['CVE-2020-35891'],[]
2025-05-27T20:54:30.142292+00:00,openai,gpt-4o,vuln-0004/vuln-function,False,False,False,[],['CVE-2020-35891'],[]
2025-05-27T20:54:31.252995+00:00,openai,gpt-4o,vuln-0005/vuln-function,False,False,False,[],['CVE-2020-35916'],[]
