timestamp,llm_provider,llm_model,code_sample,existence_correct,cwe_tp,cwe_fp,cwe_fn,func_tp,func_fp,func_fn,line_tp,line_fp,line_fn
2025-05-28T17:41:06.150999+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/vuln-function,True,0,1,1,0,2,1,1,2,0
2025-05-28T17:41:09.612891+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/vuln-file,True,0,2,1,1,1,0,1,1,0
2025-05-28T17:41:16.164799+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/vuln-crate,True,1,0,0,0,1,1,0,1,1
2025-05-28T17:41:28.455354+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/fixed-function,False,0,2,0,0,2,0,0,2,0
2025-05-28T17:41:42.787459+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/fixed-crate,False,0,1,0,0,1,0,0,1,0
2025-05-28T17:42:10.345963+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0002/vuln-crate,True,0,1,1,0,1,3,1,0,1
2025-05-28T17:43:30.184166+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0002/fixed-file,True,0,0,0,0,0,0,0,0,0
2025-05-28T17:43:47.617902+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/vuln-crate,True,1,1,0,0,1,2,1,0,1
2025-05-28T17:43:52.126749+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/vuln-file,True,1,1,0,0,1,2,1,0,1
2025-05-28T17:44:34.932828+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/fixed-crate,False,0,1,0,0,2,0,0,4,0
2025-05-28T17:44:48.240600+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/fixed-file,False,0,2,0,0,2,0,0,2,0
2025-05-28T17:44:58.889055+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/fixed-function,False,0,1,0,0,1,0,0,1,0
2025-05-28T17:45:07.711706+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0004/vuln-crate,True,0,2,1,0,13,2,0,13,2
2025-05-28T17:45:17.094866+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0004/vuln-file,True,0,2,1,0,3,2,0,5,2
2025-05-28T17:45:39.438797+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0005/vuln-function,True,0,2,1,1,0,0,1,0,0
2025-05-28T17:45:45.193714+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0005/vuln-file,True,0,1,1,0,1,1,0,3,1
2025-05-28T17:46:32.693079+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0005/fixed-function,False,0,2,0,0,1,0,0,1,0
2025-05-28T17:48:36.314725+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0006/vuln-crate,True,0,1,1,1,0,0,1,0,1
2025-05-28T17:48:41.721018+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0006/vuln-file,True,1,1,0,1,0,0,0,1,2
2025-05-28T17:48:48.582003+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0006/vuln-function,True,1,1,0,1,0,0,0,2,2
2025-05-28T17:48:55.466770+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0006/fixed-crate,False,0,2,0,0,1,0,0,1,0
2025-05-28T17:49:20.068968+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0006/fixed-function,False,0,2,0,0,1,0,0,6,0
2025-05-28T17:49:44.295744+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0007/vuln-crate,True,1,1,0,0,13,17,0,13,18
2025-05-28T17:49:53.915916+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0007/vuln-file,True,1,1,0,0,3,17,0,5,18
2025-05-28T17:49:56.978992+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0007/vuln-function,True,0,1,1,1,0,16,0,1,18
2025-05-28T17:50:03.056257+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0009/vuln-crate,True,0,1,1,0,2,2,1,16,1
2025-05-28T17:50:12.545001+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0009/vuln-file,True,0,1,1,0,2,2,1,16,1
2025-05-28T17:50:14.900689+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0009/vuln-function,True,0,1,1,1,0,1,1,3,1
2025-05-28T17:50:27.195430+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0010/vuln-file,True,0,1,1,0,1,2,0,1,2
2025-05-28T17:50:33.944152+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0010/vuln-function,True,0,1,1,0,1,2,0,1,2
2025-05-28T17:50:50.744974+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0010/fixed-function,False,0,1,0,0,1,0,0,1,0
2025-05-28T17:51:30.482481+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0012/vuln-crate,True,1,1,1,0,1,2,0,1,2
2025-05-28T17:51:33.037281+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0012/vuln-file,False,0,0,2,0,0,2,0,0,2
2025-05-28T17:51:35.106878+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0012/vuln-function,True,1,0,1,0,2,2,2,0,0
2025-05-28T17:51:39.283693+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0012/fixed-crate,False,0,1,0,0,1,0,0,1,0
2025-05-28T17:51:42.354674+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0012/fixed-file,True,0,0,0,0,0,0,0,0,0
2025-05-28T17:51:44.171762+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0012/fixed-function,True,0,0,0,0,0,0,0,0,0
2025-05-28T17:52:23.311259+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0013/vuln-file,True,0,2,2,0,2,1,0,7,1
2025-05-28T17:52:36.478756+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0013/vuln-function,True,0,2,2,0,1,1,0,1,1
2025-05-28T17:53:14.956712+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0013/fixed-file,False,0,1,0,0,1,0,0,1,0
2025-05-28T17:53:27.181472+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0013/fixed-function,False,0,2,0,0,1,0,0,1,0
2025-05-28T17:53:33.252264+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0017/vuln-crate,True,0,2,1,0,2,1,0,2,2
2025-05-28T17:53:35.504301+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0017/vuln-function,True,0,2,1,1,0,0,2,1,0
2025-05-28T17:53:45.547598+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0020/vuln-crate,True,0,1,1,0,1,1,0,1,2
2025-05-28T17:54:17.596402+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0020/vuln-file,True,0,2,1,0,1,1,0,1,2
2025-05-28T17:54:28.440351+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0020/vuln-function,True,0,2,1,0,1,1,0,1,2
2025-05-28T17:54:38.692832+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0020/fixed-crate,False,0,1,0,0,1,0,0,1,0
2025-05-28T17:55:05.932526+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0020/fixed-file,False,0,1,0,0,1,0,0,1,0
2025-05-28T17:55:10.296209+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0020/fixed-function,False,0,2,0,0,3,0,0,3,0
2025-05-28T17:55:16.264757+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0024/vuln-crate,True,1,2,0,1,1,0,1,4,0
2025-05-28T17:55:19.338356+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0024/vuln-function,True,1,1,0,1,0,0,1,0,0
