timestamp,llm_provider,llm_model,code_sample,existence_correct,cwe_tp,cwe_fp,cwe_fn,func_tp,func_fp,func_fn,line_tp,line_fp,line_fn
2025-05-28T17:41:07.586785+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/vuln-function,True,0,2,1,1,1,0,1,3,0
2025-05-28T17:41:14.903914+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/vuln-file,True,0,2,1,1,1,0,1,1,0
2025-05-28T17:41:31.628536+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/vuln-crate,True,1,0,0,0,1,1,0,1,1
2025-05-28T17:41:40.022182+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/fixed-function,False,0,2,0,0,2,0,0,4,0
2025-05-28T17:41:48.216948+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/fixed-file,False,0,1,0,0,1,0,0,1,0
2025-05-28T17:41:53.071861+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0001/fixed-crate,False,0,1,0,0,2,0,0,2,0
2025-05-28T17:42:31.011058+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0002/vuln-file,True,1,0,0,0,1,3,1,0,1
2025-05-28T17:42:42.686674+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0002/vuln-function,True,1,0,0,1,0,2,1,0,1
2025-05-28T17:43:26.877194+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0002/fixed-function,True,0,0,0,0,0,0,0,0,0
2025-05-28T17:43:32.654230+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/vuln-crate,True,1,1,0,0,1,2,1,0,1
2025-05-28T17:43:41.419147+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/vuln-file,True,1,1,0,0,1,2,1,0,1
2025-05-28T17:43:43.784327+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/vuln-function,True,1,1,0,1,0,0,1,0,0
2025-05-28T17:43:50.798765+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/fixed-crate,False,0,2,0,0,2,0,0,8,0
2025-05-28T17:43:55.113722+00:00,anthropic,claude-3-7-sonnet-20250219,vuln-0003/fixed-file,True,0,0,0,0,0,0,0,0,0
